Orders / Shipping Method Title,Orders / Total Tips Received,Orders / Processed At,Orders / Processed At · Date,Orders / Processed At · Month,Orders / Processed At · Year
"Barrie, Alliston, Angus, Innisfil (delivery  14 and 28 OCTOBER  6-10pm - we will contact you to arrange delivery)",9.06,"Oct 12, 2021 6:40 PM","Oct 12, 2021","Oct, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",9.04,"Sep 29, 2021 8:10 AM","Sep 29, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",9.00,"Sep 29, 2021 8:21 PM","Sep 29, 2021","Sep, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham, (Wednesdays   6-10pm- we will contact you to arrange delivery)",8.78,"Oct  5, 2021 8:40 PM","Oct  5, 2021","Oct, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",8.63,"Oct 13, 2021 9:42 PM","Oct 13, 2021","Oct, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",8.55,"Aug  3, 2021 9:06 PM","Aug  3, 2021","Aug, 2021",2021
Expedited Parcel,8.48,"Oct  9, 2021 10:27 PM","Oct  9, 2021","Oct, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",8.42,"Aug 10, 2021 6:19 PM","Aug 10, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",8.42,"Aug 28, 2021 11:03 AM","Aug 28, 2021","Aug, 2021",2021
Toronto and North York - Tuesdays and Fridays 6pm - 10pm,8.41,"Aug 11, 2021 10:58 PM","Aug 11, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",8.37,"Sep 19, 2021 12:40 PM","Sep 19, 2021","Sep, 2021",2021
"Ottawa, Kingston (Every last weekend of the month - next 25-27 setembro  - we will contact you to arrange delivery)",8.29,"Sep 22, 2021 7:20 PM","Sep 22, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",8.29,"Sep  9, 2021 10:34 AM","Sep  9, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",8.28,"Oct  8, 2021 1:49 PM","Oct  8, 2021","Oct, 2021",2021
"Ottawa, Kingston (Every last weekend of the month - next 25-27 setembro  - we will contact you to arrange delivery)",8.24,"Sep 23, 2021 4:18 PM","Sep 23, 2021","Sep, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",8.20,"Sep 27, 2021 9:37 PM","Sep 27, 2021","Sep, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",8.18,"Aug 14, 2021 12:29 PM","Aug 14, 2021","Aug, 2021",2021
Store Pickup,8.14,"Aug  4, 2021 10:00 AM","Aug  4, 2021","Aug, 2021",2021
Store Pickup,8.13,"Oct  8, 2021 10:07 PM","Oct  8, 2021","Oct, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",8.02,"Sep 20, 2021 8:54 PM","Sep 20, 2021","Sep, 2021",2021
Toronto and North York - Made every Tuesday and Friday 6pm - 10pm,8.02,"Jul 31, 2021 3:50 PM","Jul 31, 2021","Jul, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",8.00,"Aug 17, 2021 11:34 AM","Aug 17, 2021","Aug, 2021",2021
"london ,Woodstock, Kitchener, Waterloo, Guelph, Brantford, Hamilton (Next Delivery  OCT/9)",7.92,"Sep 27, 2021 8:26 PM","Sep 27, 2021","Sep, 2021",2021
"london ,Woodstock, Kitchener, Waterloo, Guelph, Brantford, Hamilton (Next Delivery  SEPT/11)",7.88,"Aug 11, 2021 6:59 PM","Aug 11, 2021","Aug, 2021",2021
Toronto and North York - Tuesdays and Fridays 6pm - 10pm,7.84,"Aug 22, 2021 9:26 PM","Aug 22, 2021","Aug, 2021",2021
Toronto and North York - Made every Tuesday and Friday 6pm - 10pm,7.84,"Aug  9, 2021 7:52 PM","Aug  9, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",7.81,"Sep  6, 2021 11:51 PM","Sep  6, 2021","Sep, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",7.78,"Oct 13, 2021 7:03 PM","Oct 13, 2021","Oct, 2021",2021
"Ottawa, Kingston (Every last weekend of the month - next 25-27 setembro  - we will contact you to arrange delivery)",7.69,"Sep 23, 2021 8:45 PM","Sep 23, 2021","Sep, 2021",2021
Toronto and North York - Tuesdays and Fridays 6pm - 10pm,7.59,"Aug 11, 2021 10:30 AM","Aug 11, 2021","Aug, 2021",2021
"Whitiby, Ajax, Pickering, Oshawa, Bowmanville, Courtice  Scarborough - Next delivery 2/OCT. 10am - 4pm)",7.54,"Oct  1, 2021 11:07 AM","Oct  1, 2021","Oct, 2021",2021
"london ,Woodstock, Kitchener, Waterloo, Guelph, Brantford, Hamilton (Next Delivery  OCT/9)",7.54,"Oct  7, 2021 3:43 PM","Oct  7, 2021","Oct, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham, (Wednesdays   6-10pm- we will contact you to arrange delivery)",7.50,"Sep 13, 2021 7:02 PM","Sep 13, 2021","Sep, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",7.47,"Sep 17, 2021 9:23 PM","Sep 17, 2021","Sep, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",7.44,"Aug 23, 2021 4:34 PM","Aug 23, 2021","Aug, 2021",2021
East Area and Scarborough - Next delivery 21/Aug. 10am - 4pm),7.43,"Aug 16, 2021 9:44 AM","Aug 16, 2021","Aug, 2021",2021
East Area and Scarborough - Next delivery 21/Aug. 10am - 4pm),7.43,"Aug 10, 2021 8:28 PM","Aug 10, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",7.35,"Sep 23, 2021 8:28 PM","Sep 23, 2021","Sep, 2021",2021
Toronto and North York - Tuesdays and Fridays 6pm - 10pm,7.31,"Aug 20, 2021 3:38 PM","Aug 20, 2021","Aug, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham (WEDNESDAYS   6-10pm- we will contact you to arrange delivery)",7.26,"Aug  2, 2021 8:46 PM","Aug  2, 2021","Aug, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",7.22,"Sep  9, 2021 9:41 AM","Sep  9, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",7.16,"Oct  8, 2021 1:54 PM","Oct  8, 2021","Oct, 2021",2021
Expedited Parcel,7.14,"Aug 13, 2021 12:16 AM","Aug 13, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",7.13,"Sep 22, 2021 10:04 PM","Sep 22, 2021","Sep, 2021",2021
Store Pickup,7.13,"Aug 18, 2021 3:32 PM","Aug 18, 2021","Aug, 2021",2021
Toronto and North York - Made every Tuesday and Friday 6pm - 10pm,7.11,"Aug  5, 2021 6:13 PM","Aug  5, 2021","Aug, 2021",2021
"Barrie, Alliston, Angus, Innisfil (delivery  9 and 23 SEPTEMBER 6-10pm - we will contact you to arrange delivery)",7.08,"Sep 23, 2021 7:32 AM","Sep 23, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",7.05,"Sep 12, 2021 5:16 PM","Sep 12, 2021","Sep, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",7.04,"Aug 26, 2021 7:56 PM","Aug 26, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",7.00,"Sep 16, 2021 6:47 PM","Sep 16, 2021","Sep, 2021",2021
"Barrie, Alliston, Angus, Innisfil (delivery  14 and 28 OCTOBER  6-10pm - we will contact you to arrange delivery)",7.00,"Sep 30, 2021 4:46 PM","Sep 30, 2021","Sep, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",6.97,"Sep 16, 2021 8:38 AM","Sep 16, 2021","Sep, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",6.97,"Oct  7, 2021 10:16 AM","Oct  7, 2021","Oct, 2021",2021
Xpresspost,6.96,"Aug  7, 2021 3:41 PM","Aug  7, 2021","Aug, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham, (Wednesdays   6-10pm- we will contact you to arrange delivery)",6.96,"Aug 20, 2021 8:45 AM","Aug 20, 2021","Aug, 2021",2021
"Whitiby, Ajax, Pickering, Oshawa, Bowmanville, Courtice  Scarborough - Next delivery 2/OCT. 10am - 4pm)",6.94,"Sep 23, 2021 12:50 PM","Sep 23, 2021","Sep, 2021",2021
Toronto and North York - Tuesdays and Fridays 6pm - 10pm,6.93,"Aug 15, 2021 9:48 AM","Aug 15, 2021","Aug, 2021",2021
East Area and Scarborough - Next delivery 04/SEPT. 10am - 4pm),6.90,"Sep  3, 2021 10:52 AM","Sep  3, 2021","Sep, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",6.74,"Oct  3, 2021 4:21 PM","Oct  3, 2021","Oct, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",6.74,"Aug 27, 2021 7:55 PM","Aug 27, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",6.72,"Oct  2, 2021 11:03 AM","Oct  2, 2021","Oct, 2021",2021
East Area - Every First and Third Saturday of the month (9 am - 3pm),6.71,"Aug  6, 2021 9:14 PM","Aug  6, 2021","Aug, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",6.71,"Oct  5, 2021 8:56 AM","Oct  5, 2021","Oct, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",6.71,"Sep  6, 2021 3:07 PM","Sep  6, 2021","Sep, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",6.68,"Sep 14, 2021 1:54 PM","Sep 14, 2021","Sep, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",6.68,"Sep 14, 2021 7:07 PM","Sep 14, 2021","Sep, 2021",2021
Toronto and North York - Made every Tuesday and Friday 6pm - 10pm,6.66,"Aug  3, 2021 8:52 PM","Aug  3, 2021","Aug, 2021",2021
"Whitiby, Ajax, Pickering, Oshawa, Bowmanville, Courtice  Scarborough - Next delivery 2/OCT. 10am - 4pm)",6.65,"Sep 29, 2021 9:16 PM","Sep 29, 2021","Sep, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham, (Wednesdays   6-10pm- we will contact you to arrange delivery)",6.61,"Sep 10, 2021 9:21 PM","Sep 10, 2021","Sep, 2021",2021
"Vaughan, Newmarket, Richmond Hill, Aurora, Bradford, Markham, (Wednesdays   6-10pm- we will contact you to arrange delivery)",6.60,"Sep 10, 2021 1:47 PM","Sep 10, 2021","Sep, 2021",2021
"Whitiby, Ajax, Pickering, Oshawa, Bowmanville, Courtice  Scarborough - Next delivery 18/SEPT. 10am - 4pm)",6.53,"Sep 15, 2021 4:28 PM","Sep 15, 2021","Sep, 2021",2021
Store Pickup,6.51,"Aug 25, 2021 2:31 PM","Aug 25, 2021","Aug, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",6.42,"Sep 13, 2021 4:00 PM","Sep 13, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",6.39,"Aug 26, 2021 7:09 PM","Aug 26, 2021","Aug, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",6.39,"Sep 14, 2021 9:19 AM","Sep 14, 2021","Sep, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",6.38,"Oct  5, 2021 9:16 PM","Oct  5, 2021","Oct, 2021",2021
"Whitiby, Ajax, Pickering, Oshawa, Bowmanville, Courtice  Scarborough - Next delivery 16/OCT. 10am - 4pm)",6.35,"Oct 12, 2021 9:51 PM","Oct 12, 2021","Oct, 2021",2021
"Whitiby, Ajax, Pickering, Oshawa, Bowmanville, Courtice  Scarborough - Next delivery 18/SEPT. 10am - 4pm)",6.32,"Sep 18, 2021 1:07 PM","Sep 18, 2021","Sep, 2021",2021
Toronto and North York - Tuesdays and Fridays 6pm - 10pm,6.21,"Aug 12, 2021 10:11 PM","Aug 12, 2021","Aug, 2021",2021
"Barrie, Alliston, Angus, Innisfil (delivery 12 and 26 AUG 6-10pm - we will contact you to arrange delivery)",6.19,"Aug 26, 2021 5:23 PM","Aug 26, 2021","Aug, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",6.16,"Aug  9, 2021 7:05 PM","Aug  9, 2021","Aug, 2021",2021
East Area and Scarborough - Next delivery 21/Aug. 10am - 4pm),6.13,"Aug 22, 2021 2:20 AM","Aug 22, 2021","Aug, 2021",2021
Toronto and North York - Tuesdays and Fridays  6pm - 10pm,6.13,"Aug 15, 2021 1:52 PM","Aug 15, 2021","Aug, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",6.09,"Aug  2, 2021 6:00 PM","Aug  2, 2021","Aug, 2021",2021
"Toronto (Tuesdays, Thursdays, Fridays ) and North York - (Tuesdays and Fridays  6pm - 10pm",6.09,"Sep 21, 2021 6:42 PM","Sep 21, 2021","Sep, 2021",2021
"Burlington, Oakville, Milton (Thursdays 6-10pm we will contact you to arrange delivery)",6.04,"Sep 23, 2021 12:19 PM","Sep 23, 2021","Sep, 2021",2021
"Mississauga, Etobicoke, Brampton (Wednesdays 6-10pm- we will contact you to arrange delivery)",6.00,"Sep 14, 2021 7:49 PM","Sep 14, 2021","Sep, 2021",2021
"Ottawa, Kingston (Every last weekend of the month - next 28-29 agosto  - we will contact you to arrange delivery)",5.94,"Aug 19, 2021 4:40 PM","Aug 19, 2021","Aug, 2021",2021
"Whitiby, Ajax, Pickering, Oshawa, Bowmanville, Courtice  Scarborough - Next delivery 16/OCT. 10am - 4pm)",5.93,"Oct 12, 2021 12:25 PM","Oct 12, 2021","Oct, 2021",2021
